Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.872340425531913	8.709537499694145	-inf	47	0.982	0.0005	4.595498243967692e-05
2000	20.8125	9.899823756848738	-inf	96	0.964	0.0005	0.0006003294388453166
3000	21.18	10.784600131669233	21.52	144	0.946	0.0005	0.001016735831896464
4000	21.28	10.065863102585888	21.54	189	0.9279999999999999	0.0005	0.0014291663964589437
5000	20.92	10.526803883420646	21.54	238	0.91	0.0005	0.0018785407808091905
6000	21.85	11.347576833844307	21.85	279	0.892	0.0005	0.002294222248925103
7000	24.19	13.538607757077537	24.34	320	0.874	0.0005	0.0027056825160980224
8000	26.14	18.369550892713736	26.14	356	0.856	0.0005	0.0031461538871129353
9000	28.1	20.130325382367772	29.22	386	0.838	0.0005	0.003595098588201735
10000	30.35	20.797776323443816	30.76	417	0.82	0.0005	0.004011351664861044
11000	35.88	24.938436197965583	35.88	437	0.802	0.0005	0.004448220796055264
12000	38.42	25.205229616093565	38.58	459	0.784	0.0005	0.004893934726715088
13000	41.31	27.797012429396077	41.39	480	0.766	0.0005	0.005291154980659485
14000	46.76	32.785704201679124	46.76	495	0.748	0.0005	0.005726319419013129
15000	51.65	34.53675578278886	51.65	512	0.73	0.0005	0.006154789990848965
16000	50.64	34.08886035056027	52.76	536	0.712	0.0005	0.006590471665064494
17000	50.6	34.671890632037936	53.04	558	0.694	0.0005	0.007134160266982184
18000	52.91	39.950242802766546	53.04	572	0.6759999999999999	0.0005	0.007565437489085727
19000	54.18	40.364930323239754	54.9	589	0.6579999999999999	0.0005	0.007976239456070794
20000	52.85	39.47768356932813	54.9	606	0.6399999999999999	0.0005	0.008520495030615065
21000	55.33	40.92433383697284	55.33	622	0.622	0.0005	0.009071803622775607
22000	62.26	44.93475714855929	62.26	632	0.604	0.0005	0.009626814723014831
23000	66.65	47.819739647973826	66.65	644	0.586	0.0005	0.0101258827580346
24000	70.86	49.12067181950996	70.86	651	0.5680000000000001	0.0005	0.010641753342416552
25000	78.29	51.31828036869513	78.29	661	0.55	0.0005	0.011219757199287415
26000	79.57	49.28108257739475	80.38	672	0.532	0.0005	0.011929415530628628
27000	84.23	51.179264355791595	84.74	681	0.514	0.0005	0.012595363325542874
28000	89.19	53.94769596562952	89.19	691	0.4959999999999999	0.0005	0.013189468582471211
29000	93.26	54.28915545484199	93.26	699	0.478	0.0005	0.013971777492099338
30000	99.24	54.64560732574943	99.24	706	0.45999999999999996	0.0005	0.014874274134635926
31000	105.79	56.23687313498146	105.79	713	0.44199999999999995	0.0005	0.015727089709705776
32000	111.63	57.505418005610565	111.63	719	0.42399999999999993	0.0005	0.016479400528801813
33000	116.71	57.432794638603475	116.71	724	0.4059999999999999	0.0005	0.017324597769313388
34000	121.19	58.32318492675105	121.19	731	0.3879999999999999	0.0005	0.018182851605945162
35000	127.29	56.970043882728405	127.29	736	0.37	0.0005	0.01907928943634033
36000	132.18	56.912806994559666	132.18	741	0.352	0.0005	0.01999682664871216
