Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	21.456521739130434	9.790648869865862	-inf	46	0.982	0.0005	0.0001268002059724596
2000	21.19148936170213	10.19519765520072	-inf	94	0.964	0.0005	0.0010272796948750814
3000	22.18	11.841773515821014	22.18	136	0.946	0.0005	0.001713203854031033
4000	24.9	13.105342422081154	24.93	174	0.9279999999999999	0.0005	0.0023635758293999564
5000	25.37	14.348278642401672	25.72	215	0.91	0.0005	0.003042258554034763
6000	25.36	14.39688855273944	25.96	253	0.892	0.0005	0.003713005781173706
7000	24.77	14.227336363494048	26.03	296	0.874	0.0005	0.004407481882307264
8000	26.14	14.31923182297151	26.14	331	0.856	0.0005	0.005056862433751424
9000	27.36	14.776007579857287	27.36	362	0.838	0.0005	0.005707946419715881
10000	29.93	16.31272815932393	30.04	396	0.82	0.0005	0.006369150810771518
11000	34.75	19.42028578574476	34.75	418	0.802	0.0005	0.007050647205776638
12000	38.05	26.64596592356899	38.1	436	0.784	0.0005	0.007782531380653382
13000	40.21	30.23914515987514	41.62	461	0.766	0.0005	0.00847232222557068
14000	44.77	35.926551462671725	45.08	477	0.748	0.0005	0.009179584980010987
15000	47.13	38.466519208267336	48.2	500	0.73	0.0005	0.009912881387604608
16000	44.66	36.609621686108696	48.2	527	0.712	0.0005	0.010651144385337829
17000	43.07	33.972122394692974	48.2	550	0.694	0.0005	0.011373888320393032
18000	48.48	38.64491687143343	48.85	564	0.6759999999999999	0.0005	0.012120698889096579
19000	50.79	39.56141933753136	51.63	576	0.6579999999999999	0.0005	0.013082312742869058
20000	54.18	42.69692728991162	55.19	591	0.6399999999999999	0.0005	0.013772392206721835
21000	58.52	44.9204808522794	58.52	605	0.622	0.0005	0.014495467146237692
22000	63.49	47.995727934890205	63.6	617	0.604	0.0005	0.015322088334295485
23000	69.73	50.13937674124001	69.73	626	0.586	0.0005	0.016010813315709433
24000	76.71	53.318157319997475	76.71	635	0.5680000000000001	0.0005	0.016683019929462008
25000	81.65	56.08143632254795	82.32	644	0.55	0.0005	0.017409048610263402
26000	87.88	58.35465362762425	87.88	654	0.532	0.0005	0.018070397443241543
27000	90.03	60.41878102047409	90.49	662	0.514	0.0005	0.018757999936739603
28000	94.65	62.496459899741524	95.13	671	0.4959999999999999	0.0005	0.01943186190393236
29000	98.03	62.74208396283949	98.03	680	0.478	0.0005	0.020090221961339316
30000	101.94	63.66424742349508	101.94	686	0.45999999999999996	0.0005	0.02073992861641778
31000	108.61	64.82328208290599	108.61	693	0.44199999999999995	0.0005	0.021486816936069065
32000	112.74	66.86787270431145	112.74	700	0.42399999999999993	0.0005	0.02215961111916436
33000	117.49	67.17090069367836	117.49	706	0.4059999999999999	0.0005	0.022826616300476922
34000	122.61	67.69163833148079	122.61	711	0.3879999999999999	0.0005	0.023500028053919476
35000	128.45	67.71755680766991	128.45	717	0.37	0.0005	0.024160956939061482
36000	134.44	67.55476593105773	134.44	723	0.352	0.0005	0.024839859737290276
37000	136.67	68.13502109781723	136.67	728	0.33399999999999996	0.0005	0.02552718500296275
38000	141.19	68.02818460020816	141.19	733	0.31599999999999995	0.0005	0.026130218307177225
39000	142.88	67.63154293670964	142.91	739	0.29799999999999993	0.0005	0.02666015028953552
40000	149.86	65.14399742109782	149.86	744	0.2799999999999999	0.0005	0.02720376584264967
41000	155.91	61.99533772792918	155.91	749	0.262	0.0005	0.027732796404096816
42000	159.99	60.17150405299837	159.99	754	0.244	0.0005	0.028255055480533177
43000	165.22	57.29722157312691	165.22	759	0.22599999999999998	0.0005	0.028784356911977133
44000	166.22	57.26789327363108	166.22	764	0.20799999999999996	0.0005	0.029298070006900365
45000	172.45	51.6409478998982	172.45	769	0.18999999999999995	0.0005	0.0298553646935357
46000	175.77	50.225462665863006	175.77	774	0.17199999999999993	0.0005	0.03044303470187717
47000	180.37	45.941409425484544	180.37	779	0.15400000000000003	0.0005	0.030980149971114264
48000	183.36	42.83842200641849	183.36	784	0.136	0.0005	0.031519449088308546
49000	186.25	38.74464479124825	186.25	789	0.118	0.0005	0.03206473939948612
50000	189.02	35.0005657097139	189.02	794	0.1	0.0005	0.03261434409353468
51000	192.73	24.584895769557374	192.73	799	0.0984	0.0005	0.033156582183308074
52000	193.39	24.234229923808183	193.39	804	0.09680000000000001	0.0005	0.03370549831125471
53000	194.43	23.00706630581135	194.43	809	0.0952	0.0005	0.03430483745204078
54000	196.01	17.16944670046184	196.01	814	0.0936	0.0005	0.034853625231319005
55000	196.86	16.010009369141542	196.86	819	0.092	0.0005	0.035396892428398136
56000	198.07	13.603128316677754	198.07	824	0.09040000000000001	0.0005	0.03594472110271454
57000	198.07	13.603128316677754	198.07	829	0.0888	0.0005	0.03649247580104404
58000	197.57	14.7636411497977	198.07	835	0.0872	0.0005	0.03706502828333113
59000	197.77	10.515564654358796	198.87	840	0.08560000000000001	0.0005	0.037618371380700004
60000	196.89	12.18679203071916	198.87	846	0.084	0.0005	0.038156718611717225
61000	196.89	12.18679203071916	198.87	851	0.0824	0.0005	0.038719298839569094
62000	195.85	13.500648132589781	198.87	856	0.08080000000000001	0.0005	0.03927258524629805
63000	195.57	13.575164824045414	198.87	861	0.0792	0.0005	0.03981216775046455
64000	193.55	16.17304856852906	198.87	867	0.0776	0.0005	0.04034188277191586
65000	193.42	16.172927997119135	198.87	872	0.07600000000000001	0.0005	0.040890622999933034
66000	190.86	20.23957509435413	198.87	879	0.07440000000000001	0.0005	0.0414321455028322
67000	190.65	20.201175708359155	198.87	884	0.0728	0.0005	0.04197321719593472
68000	189.44	21.238794692731506	198.87	889	0.07120000000000001	0.0005	0.042517256339391074
69000	189.07	21.215680521727318	198.87	894	0.06960000000000001	0.0005	0.043054839372634886
70000	183.08	35.13820712557771	198.87	902	0.068	0.0005	0.04358545415931278
71000	182.53	35.0226940711305	198.87	908	0.06640000000000001	0.0005	0.04411521666579776
72000	180.74	35.31674390427294	198.87	914	0.0648	0.0005	0.04463314029905531
73000	178.78	36.12854273285874	198.87	920	0.0632	0.0005	0.045069440205891924
74000	176.07	37.42706373735455	198.87	926	0.06160000000000001	0.0005	0.04549891557958391
75000	175.18	37.44713073120556	198.87	932	0.060000000000000005	0.0005	0.04596934523847368
76000	172.63	38.37412018535409	198.87	939	0.0584	0.0005	0.046407054927614
77000	172.41	38.120623027437524	198.87	944	0.0568	0.0005	0.046878595550855
78000	170.9	38.06770284637622	198.87	950	0.0552	0.0005	0.047366479966375566
79000	171.0	37.98368070632439	198.87	956	0.05360000000000001	0.0005	0.04781081881788042
